feature_set,n_features,cv_acc_mean,cv_acc_std
imagenet+hog,2148,0.871008593396653,0.02166464130159415
imagenet+add,2071,0.8619629127091815,0.01922638097858657
imagenet,2048,0.8589778380823156,0.019574338851803038
imagenet+all,2267,0.8589778380823156,0.028786946136800738
imagenet+color,2144,0.8559023066485754,0.011357103369249163
add,23,0.27322478516508364,0.05824996964849579
handcrafted_all,219,0.19850746268656716,0.049136117511248086
color,96,0.18322026232473992,0.03215558183997388
hog,100,0.18041610131162372,0.04339674148081378
