true_class,predicted_class,count,pct_of_true_class
class_4,class_2,38,0.12666666666666668
class_2,class_4,30,0.1
class_0,class_3,14,0.04666666666666667
class_7,class_3,12,0.04
class_0,class_6,11,0.03666666666666667
class_1,class_9,10,0.03333333333333333
class_9,class_1,9,0.03
class_2,class_6,8,0.02666666666666667
class_3,class_0,8,0.02666666666666667
class_2,class_0,7,0.023333333333333334
class_3,class_7,7,0.023333333333333334
class_6,class_3,6,0.02
class_6,class_0,6,0.02
class_0,class_7,6,0.02
class_2,class_3,6,0.02
class_3,class_2,6,0.02
class_3,class_6,5,0.016666666666666666
class_4,class_0,5,0.016666666666666666
class_7,class_4,4,0.013333333333333334
class_4,class_3,4,0.013333333333333334
class_0,class_2,4,0.013333333333333334
class_3,class_4,4,0.013333333333333334
class_5,class_8,3,0.01
class_0,class_4,3,0.01
class_8,class_5,3,0.01
class_7,class_0,3,0.01
class_6,class_2,3,0.01
class_6,class_4,3,0.01
class_2,class_7,3,0.01
class_4,class_7,3,0.01
class_9,class_0,2,0.006666666666666667
class_1,class_2,2,0.006666666666666667
class_3,class_9,2,0.006666666666666667
class_8,class_3,2,0.006666666666666667
class_7,class_2,2,0.006666666666666667
class_8,class_2,2,0.006666666666666667
class_5,class_2,1,0.0033333333333333335
class_7,class_9,1,0.0033333333333333335
class_9,class_3,1,0.0033333333333333335
class_2,class_1,1,0.0033333333333333335
class_1,class_0,1,0.0033333333333333335
class_0,class_8,1,0.0033333333333333335
class_1,class_6,1,0.0033333333333333335
class_6,class_9,1,0.0033333333333333335
class_4,class_6,1,0.0033333333333333335
class_1,class_4,1,0.0033333333333333335
class_5,class_9,1,0.0033333333333333335
class_9,class_5,1,0.0033333333333333335
