feature_set,model,n_features,acc_mean,acc_std,f1_mean,f1_std
imagenet,extra_trees,512,0.8777969018932874,0.027265449402649314,0.877698647070164,0.029405548083248592
color_hog_add_imagenet,random_forest,731,0.8777969018932875,0.03475504809500196,0.8759389604203847,0.03778049934058087
color_imagenet,random_forest,608,0.8753872633390707,0.028452201310745467,0.874213257502731,0.030926424516318118
imagenet,random_forest,512,0.8706253585771659,0.03616096669691679,0.8690458877208105,0.04089188889615505
color_add_imagenet,random_forest,631,0.8682730923694779,0.03047311541385089,0.8676274887822875,0.03224357303162436
color_hog_imagenet,random_forest,708,0.8680722891566266,0.008094585463571601,0.8665499235662111,0.008758050417614318
hog_imagenet,rbf_svm,612,0.8657773952954676,0.033108168962907754,0.8654825894779454,0.03680576582096551
hog_imagenet,extra_trees,612,0.8633964429145152,0.029419429424057123,0.86212324929972,0.032270174587552145
add_imagenet,random_forest,535,0.8610154905335629,0.03296439495058867,0.8597726707417109,0.036722189892603424
hog_imagenet,random_forest,612,0.8585484796328169,0.02753430352703704,0.858033908300162,0.02849307740191202
color_imagenet,extra_trees,608,0.8587779690189329,0.053572501892058894,0.8574288867307442,0.056457453981949124
hog_imagenet,logistic_regression,612,0.8562248995983935,0.02877004377261592,0.8572445272305952,0.030810297505019867
color_add_imagenet,extra_trees,631,0.8585484796328171,0.033140216129964706,0.8570413307023215,0.037384142098512076
hog_add_imagenet,extra_trees,635,0.8563109581181871,0.0370767430038201,0.8562686682082967,0.04209916940651656
color_hog_imagenet,extra_trees,708,0.8562535857716579,0.03416382331036131,0.8552111254758314,0.03665017578968436
color_hog_imagenet,rbf_svm,708,0.8537865748709124,0.0227891020131924,0.8539480375146009,0.02725132283929546
hog_add_imagenet,random_forest,635,0.8561388410786002,0.01038819771685622,0.8538721886988141,0.013330048005608892
add_imagenet,extra_trees,535,0.8537865748709121,0.022668176408865984,0.8517406997886873,0.02660221004791051
imagenet,logistic_regression,512,0.849053356282272,0.033792823485090086,0.850905990466362,0.03675158860452693
color_imagenet,logistic_regression,608,0.846643717728055,0.023650597336688367,0.8493033541965431,0.025522369339877605
color_hog_add_imagenet,extra_trees,731,0.848995983935743,0.02301972016128886,0.8478630061029442,0.025071991991497476
color_hog_add_imagenet,rbf_svm,731,0.8465863453815261,0.02276055785871523,0.8467591471136362,0.02680698581136833
imagenet,rbf_svm,512,0.846643717728055,0.0391671223473501,0.8466412682604633,0.044273310495019445
hog_add_imagenet,rbf_svm,635,0.8442053930005737,0.02896258111933554,0.8450819828606205,0.03149289499074615
hog_add_imagenet,logistic_regression,635,0.8442340791738383,0.028724443777256244,0.8449451343290353,0.030875376702835043
color_imagenet,rbf_svm,608,0.8442053930005737,0.022146097339621477,0.8446037662028376,0.026998878313602873
color_add_imagenet,logistic_regression,631,0.8418531267928857,0.02908155519962617,0.8441540708285895,0.028284838414257007
color_hog_imagenet,logistic_regression,708,0.8417957544463569,0.016975817126234645,0.8435703644480734,0.01721473262914848
color_hog_add_imagenet,logistic_regression,731,0.8418244406196214,0.01831368977000439,0.8432269398987664,0.018389813594736616
color_add_imagenet,rbf_svm,631,0.839443488238669,0.030190286024458213,0.8402863058853771,0.034723958300274
add_imagenet,rbf_svm,535,0.839443488238669,0.03999963627807715,0.839604382373732,0.045160080651474345
add_imagenet,logistic_regression,535,0.8370625358577165,0.03542481077231345,0.8389637328615656,0.038500531983680614
color_imagenet,linear_svm,608,0.8370051635111876,0.021680674990132057,0.8343924819590454,0.02410873580644406
color_add_imagenet,linear_svm,631,0.8274239816408491,0.018684016172271136,0.8249095532950023,0.02170090103945895
imagenet,linear_svm,512,0.8081468732071142,0.027396962519079037,0.8077258266329472,0.030333302122191635
color_hog_add_imagenet,linear_svm,731,0.8106138841078601,0.02003798503999366,0.8072010720617533,0.020587107995216136
add_imagenet,linear_svm,535,0.8057946069994262,0.013366648645712869,0.8060363480688558,0.01745579638306927
color_hog_imagenet,linear_svm,708,0.8010040160642571,0.02433351886310461,0.7968780208439651,0.022586729485961847
hog_add_imagenet,linear_svm,635,0.7986230636833046,0.022749419548054522,0.7947843382967221,0.025112654011744066
hog_imagenet,linear_svm,612,0.7938324727481354,0.019944132878024427,0.7903719593100397,0.02252632029818272
color_hog_add,random_forest,219,0.3211990820424555,0.03849718653042932,0.30875339212319963,0.03831224364329994
color,random_forest,96,0.3213711990820425,0.02086958042904565,0.30631794187924216,0.02511141133114222
color_add,random_forest,119,0.3164084911072863,0.0346378860542136,0.3054838561552116,0.04104786179623158
color_hog,random_forest,196,0.32134251290877797,0.032542386947014126,0.3037338320764038,0.03722020196462722
color_hog_add,extra_trees,219,0.3091508892713712,0.040841253506978197,0.29609753952400475,0.045232760932440864
add,linear_svm,23,0.28775100401606424,0.04461418422674357,0.27273994139749963,0.03949387518920474
add,logistic_regression,23,0.27332185886402754,0.03935065484995814,0.2699196013077424,0.04163868707227672
color_hog,extra_trees,196,0.2852553069420539,0.04383660276175742,0.25996256939243884,0.036252971637241366
color,extra_trees,96,0.2732071141709696,0.03446108571015885,0.2574551289968968,0.04056847355735777
hog_add,extra_trees,123,0.2614170969592656,0.03360124510246354,0.24379617922048938,0.0287921909273621
color_add,extra_trees,119,0.2540447504302926,0.044967569024567965,0.24326032684654306,0.047998155635139685
hog_add,random_forest,123,0.25900745840504874,0.016492528998935704,0.2391307828196155,0.013664870211462937
add,rbf_svm,23,0.24443488238668962,0.048566326732204186,0.2355475663939118,0.049869359613251556
color,linear_svm,96,0.2374641422834194,0.04972246495082353,0.23021723374664554,0.04875473999856583
hog_add,rbf_svm,123,0.23264486517498564,0.02616204164910038,0.22747305171608576,0.025246514374710313
color_hog_add,logistic_regression,219,0.2348823866896156,0.04388652637267721,0.2251185727779347,0.05409991083497418
color_hog,logistic_regression,196,0.22773952954675844,0.03504816496724089,0.2237068487845443,0.04033202399284524
hog_add,linear_svm,123,0.2278542742398164,0.04605713191633393,0.22259192274201026,0.05102712630938489
hog_add,logistic_regression,123,0.2350545037292025,0.01292801524448014,0.22142628020937347,0.016657298707337818
color_hog_add,linear_svm,219,0.22535857716580607,0.032119599615680075,0.218123096993941,0.034266317733322955
color_add,linear_svm,119,0.2231210556511761,0.04932025039931364,0.21716778324949004,0.04950669166724837
add,random_forest,23,0.22303499713138267,0.027120194032813526,0.21574287132827985,0.020270401076300976
color_add,logistic_regression,119,0.2136259323006311,0.061358886418218274,0.21386766793577938,0.059275294872474064
hog,rbf_svm,100,0.215863453815261,0.0315847664432058,0.20935854054113573,0.03668945471561781
color_hog,linear_svm,196,0.2062535857716581,0.014218622334885167,0.20633925020702515,0.012167965783207725
color,logistic_regression,96,0.20378657487091223,0.03826722611133945,0.20132431006572885,0.04023619292190479
add,extra_trees,23,0.20622489959839357,0.020581084879449707,0.20067133775274842,0.021392297383385887
color_hog_add,rbf_svm,219,0.20611015490533563,0.03603079285844276,0.19832100939248604,0.035479843962069525
hog,logistic_regression,100,0.196758462421113,0.024360692886119997,0.1946305233809878,0.02500030798904079
color_hog,rbf_svm,196,0.20134825014343086,0.034647197595034276,0.19377858799342174,0.03365319173079408
color_add,rbf_svm,119,0.19899598393574297,0.04317432041190555,0.19157238397324544,0.044396805626365415
hog,linear_svm,100,0.18952954675846242,0.021364093741188778,0.18726634837470751,0.021716863540489247
color,rbf_svm,96,0.19423407917383823,0.03516700212488478,0.18030866649599156,0.03967576752710052
hog,extra_trees,100,0.18703384968445208,0.01766565262097803,0.1798355469640508,0.013758113555480227
hog,random_forest,100,0.17271944922547333,0.03128034829437831,0.16260987036524793,0.03081145681396813
