feature_set,n_features,cv_acc_mean,cv_acc_std
imagenet+add,2071,0.9146666666666666,0.012036980056845215
imagenet,2048,0.9133333333333333,0.01256096245427785
imagenet+color,2144,0.9126666666666667,0.009463379711052254
imagenet+all,2267,0.9126666666666665,0.013767917618708924
imagenet+hog,2148,0.9093333333333333,0.01103529690483123
handcrafted_all,219,0.5093333333333334,0.014476033833738978
add,23,0.466,0.01848723283181607
hog,100,0.4103333333333333,0.01603468462774093
color,96,0.19933333333333333,0.004294699575575043
